"","ï..polstn","pol","stn","stn_no","lat","lon","tribmarsh","region","loc","loc_code","habitat","tidesta","station_name"
"914","NB-290Pond","NB-290Pond",NA,NA,38.1657480861234,-122.307088515699,"Napa River","North Bay","NRU Pond 4","N4","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"915","NB-300","NB-300",NA,NA,37.4563548691945,-121.940306517348,"Napa River","North Bay","Napa River","NPR","Mainstem","EDGERLEY ISLAND, NAPA RIVER","9415415"
"916","NB-300Pond","NB-300Pond",NA,NA,38.1733874888718,-122.299929196395,"Napa River","North Bay","NRU Pond 4","N4","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"917","NB-310","NB-310",NA,NA,37.4563082689182,-121.953588004134,"Napa River","North Bay","Napa River","NPR","Mainstem","EDGERLEY ISLAND, NAPA RIVER","9415415"
"918","NB-310Pond","NB-310Pond",NA,NA,38.1608656818782,-122.316053209635,"Napa River","North Bay","NRU Pond 4","N4","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"919","NB-320","NB-320",NA,NA,37.4610736614461,-121.955171387952,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"920","NB-320Pond","NB-320Pond",NA,NA,38.1559323724511,-122.304005791728,"Napa River","North Bay","NRU Pond 4","N4","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"921","NB-330","NB-330",NA,NA,38.1468236665045,-122.289406591618,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"922","NB-330Pond","NB-330Pond",NA,NA,38.1436380702813,-122.299870986499,"Napa River","North Bay","NRU Pond 4","N4","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"923","NB-340","NB-340",NA,NA,38.1406891103279,-122.279017040027,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"924","NB-341","NB-341",NA,NA,38.1452825459998,-122.292608971094,"Napa River","North Bay","South Slough","SSL","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"925","NB-341Pond","NB-341Pond",NA,NA,38.1395706659833,-122.28774559245,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"926","NB-343","NB-343",NA,NA,38.1379609930843,-122.308415891399,"Napa River","North Bay","South Slough","SSL","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"927","NB-343B","NB-343B",NA,"",38.1565152341737,-122.304119951697,"Napa River","North Bay","South Slough","SSL","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"928","NB-343B","NB-343B",NA,"",38.1554035359276,-122.308620363451,"Napa River","North Bay","South Slough","SSL","Slough Adjacent to Restoration Pond","",""
"929","NB-343Pond","NB-343Pond",NA,NA,38.1381768225235,-122.30780080502,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"930","NB-345","NB-345",NA,NA,38.1461403683583,-122.313315490446,"Napa River","North Bay","South Slough","SSL","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"931","NB-345Pond","NB-345Pond",NA,NA,38.1476326911899,-122.311307079698,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"932","NB-347","NB-347",NA,NA,38.1459956369138,-122.321492472846,"Napa River","North Bay","South Slough","SSL","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"933","NB-347Pond","NB-347Pond",NA,NA,38.1386386159285,-122.324568289946,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"934","NB-349Pond","NB-349Pond",NA,NA,38.1555970766477,-122.324912014645,"Napa River","North Bay","NRU Pond 2A","N2","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"935","NB-350","NB-350",NA,NA,38.1308916035868,-122.281085689886,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"936","NB-360","NB-360",NA,NA,38.1235840007213,-122.277427631108,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"937","NB-361","NB-361",NA,NA,38.1213573076076,-122.29436199536,"Napa River","North Bay","Dutchman Slough","DUT","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"938","NB-361Pond","NB-361Pond",NA,NA,38.1243867705093,-122.287704861841,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"939","NB-363","NB-363",NA,NA,38.1272669213796,-122.297193976917,"Napa River","North Bay","Dutchman Slough","DUT","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"940","NB-365","NB-365",NA,NA,38.1328212828951,-122.301096836542,"Napa River","North Bay","Dutchman Slough","DUT","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"941","NB-365Pond","NB-365Pond",NA,NA,38.1272048113839,-122.298630673516,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"942","NB-367","NB-367",NA,NA,38.1348823693762,-122.312454380433,"Napa River","North Bay","Dutchman Slough","DUT","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"943","NB-367Pond","NB-367Pond",NA,NA,38.1345656789025,-122.315190224519,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"944","NB-369","NB-369",NA,NA,38.1376887254032,-122.322073913733,"Napa River","North Bay","Dutchman Slough","DUT","Slough Adjacent to Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"945","NB-369Pond","NB-369Pond",NA,NA,38.1378882180609,-122.319831725889,"Napa River","North Bay","NRU Pond 3 Knight Island","N3","Restoration Pond","MARE ISLAND STAIT, CA","9415165"
"946","NB-370","NB-370",NA,NA,38.1163722482213,-122.282314330533,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"947","NB-380","NB-380",NA,NA,38.1082360090828,-122.269084855668,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"948","NB-390","NB-390",NA,NA,38.1038776696904,-122.265711713577,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND STAIT, CA","9415165"
"949","NB-400","NB-400",NA,NA,38.0898463379348,-122.263315208138,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND, CA","9415218"
"950","NB-410","NB-410",NA,NA,38.0914632874384,-122.254398149851,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND, CA","9415218"
"951","NB-420","NB-420",NA,NA,38.07908469392,-122.25020088852,"Napa River","North Bay","Napa River","NPR","Mainstem","MARE ISLAND, CA","9415218"
"952","NB-430","NB-430",NA,NA,38.0669451433276,-122.238038886593,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"953","NB-440","NB-440",NA,NA,38.0666897315184,-122.226047661184,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"954","NB-450","NB-450",NA,NA,38.0609614458588,-122.236905568466,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"955","NB-460","NB-460",NA,NA,38.0648846396124,-122.249013125138,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"956","NB-470","NB-470",NA,NA,38.0528897861874,-122.25462933715,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"957","NB-480","NB-480",NA,NA,38.0615259159687,-122.262694055689,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"958","NB-490","NB-490",NA,NA,38.044853619335,-122.26726558942,"Carquinez Straight","North Bay","Carquinez Straight","CAR","Mainstem","MARE ISLAND, CA","9415218"
"959","NB-500","NB-500",NA,NA,38.2310898070489,-122.437811492352,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"960","NB-510","NB-510",NA,NA,38.223665276598,-122.434036248836,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"961","NB-520","NB-520",NA,NA,38.2318655100255,-122.429945000719,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"962","NB-522","NB-522",NA,NA,38.2261679796642,-122.425330275704,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","SONOMA CREEK, WINGO","9415447"
"963","NB-524","NB-524",NA,NA,38.2379730383978,-122.433723298426,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","SONOMA CREEK, WINGO","9415447"
"964","NB-530","NB-530",NA,NA,38.2217041762,-122.417462853241,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"965","NB-540","NB-540",NA,NA,38.2168445078032,-122.426838346937,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"966","NB-542","NB-542",NA,NA,38.2233337730342,-122.415490659545,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","SONOMA CREEK, WINGO","9415447"
"967","NB-550","NB-550",NA,NA,38.2174990201912,-122.428774479161,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"968","NB-560","NB-560",NA,NA,38.2118145131282,-122.419898910408,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"969","NB-570","NB-570",NA,NA,38.2047262347663,-122.412070300567,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"970","NB-580","NB-580",NA,NA,38.2062469722037,-122.39556489623,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","SONOMA CREEK, WINGO","9415447"
"971","NB-590","NB-590",NA,NA,38.1960946515372,-122.396437382266,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"972","NB-592","NB-592",NA,NA,38.1994146659441,-122.392512333901,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","Sonoma Creek Entrance","9415338"
"973","NB-600","NB-600",NA,NA,38.1919428764578,-122.39576236774,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"974","NB-610","NB-610",NA,NA,38.1883790678518,-122.408485107847,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"975","NB-620","NB-620",NA,NA,38.187971021251,-122.414164543826,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"976","NB-621","NB-621",NA,NA,38.18814314372,-122.420386578735,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","Sonoma Creek Entrance","9415338"
"977","NB-623","NB-623",NA,NA,38.1995067743028,-122.43231451311,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","Sonoma Creek Entrance","9415338"
"978","NB-625","NB-625",NA,NA,38.2042180705069,-122.429714804939,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","Sonoma Creek Entrance","9415338"
"979","NB-627","NB-627",NA,NA,38.2117366056142,-122.424649776709,"Sonoma Creek","North Bay","Sonoma Creek","SON","Slough","Sonoma Creek Entrance","9415338"
"980","NB-630","NB-630",NA,NA,38.1801634211945,-122.420612626817,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"981","NB-640","NB-640",NA,NA,38.1762261367011,-122.419285093643,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"982","NB-650","NB-650",NA,NA,38.1638982738533,-122.421066842937,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"983","NB-660","NB-660",NA,NA,38.1602643853553,-122.416596947478,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"984","NB-670","NB-670",NA,NA,38.1515502549951,-122.405590718781,"Sonoma Creek","North Bay","Sonoma Creek","SON","Mainstem","Sonoma Creek Entrance","9415338"
"985","NB-700","NB-700",NA,NA,38.24207439048,-122.642651010456,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"986","NB-710","NB-710",NA,NA,38.2327039765886,-122.634174479967,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"987","NB-720","NB-720",NA,NA,38.2346927199538,-122.626204064774,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"988","NB-730","NB-730",NA,NA,38.2310315515064,-122.614269081994,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"989","NB-740","NB-740",NA,NA,38.2235594734006,-122.609320423719,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"990","NB-750","NB-750",NA,NA,38.2196526910244,-122.594938914772,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"991","NB-760","NB-760",NA,NA,38.2144773029579,-122.588635737534,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Petaluma River, Upper Drawbridge","9415584"
"992","NB-760Pond","NB-760Pond",NA,NA,38.2176011731409,-122.592007256087,"Petaluma River","North Bay","Petaluma River","PET","Restoration Pond","Petaluma River, Upper Drawbridge","9415584"
"993","NB-762","NB-762",NA,NA,38.214617588006,-122.59089536526,"Petaluma River","North Bay","Petaluma River","PET","Slough","Petaluma River, Upper Drawbridge","9415584"
"994","NB-770","NB-770",NA,NA,38.2065883136477,-122.579743301271,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"995","NB-772","NB-772",NA,NA,38.213353094433,-122.580130814539,"Petaluma River","North Bay","Petaluma River","PET","Slough","Lakeville, Petaluma River","TWC0649"
"996","NB-780","NB-780",NA,NA,38.2041463364904,-122.574302538725,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"997","NB-782","NB-782",NA,NA,38.2132875547175,-122.576599866116,"Petaluma River","North Bay","Petaluma River","PET","Slough","Lakeville, Petaluma River","TWC0649"
"998","NB-790","NB-790",NA,NA,38.2032929422706,-122.565205313835,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"999","NB-792","NB-792",NA,NA,38.2126148419512,-122.567058710803,"Petaluma River","North Bay","Petaluma River","PET","Slough","Lakeville, Petaluma River","TWC0649"
"1000","NB-800","NB-800",NA,NA,38.195537198623,-122.554323870451,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"1001","NB-810","NB-810",NA,NA,38.1938882582659,-122.546919001462,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"1002","NB-820","NB-820",NA,NA,38.1823156397035,-122.540199040255,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"1003","NB-830","NB-830",NA,NA,38.1753621541525,-122.542702330811,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"1004","NB-840","NB-840",NA,NA,38.1756726200845,-122.537669021379,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","Lakeville, Petaluma River","TWC0649"
"1005","NB-850","NB-850",NA,NA,38.1636577212218,-122.532677014348,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","HOG IS.,SAN ANTONIO CREEK","9415344"
"1006","NB-860","NB-860",NA,NA,38.1628068245556,-122.541399470624,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","HOG IS.,SAN ANTONIO CREEK","9415344"
"1007","NB-861","NB-861",NA,NA,38.1530861738758,-122.554431890865,"Petaluma River","North Bay","Mud Slough Petaluma","MDP","Slough Adjacent to Restoration Pond","HOG IS.,SAN ANTONIO CREEK","9415344"
"1008","NB-863","NB-863",NA,NA,38.1646138594435,-122.555554975013,"Petaluma River","North Bay","Mud Slough Petaluma","MDP","Slough Adjacent to Restoration Pond","HOG IS.,SAN ANTONIO CREEK","9415344"
"1009","NB-865","NB-865",NA,NA,38.169026736336,-122.552133580407,"Petaluma River","North Bay","Mud Slough Petaluma","MDP","Slough Adjacent to Restoration Pond","HOG IS.,SAN ANTONIO CREEK","9415344"
"1010","NB-867","NB-867",NA,NA,38.1697070479601,-122.563311197452,"Petaluma River","North Bay","Mud Slough Petaluma","MDP","Slough Adjacent to Restoration Pond","HOG IS.,SAN ANTONIO CREEK","9415344"
"1011","NB-869","NB-869",NA,NA,38.1784083808696,-122.568493455238,"Petaluma River","North Bay","Mud Slough Petaluma","MDP","Slough Adjacent to Restoration Pond","HOG IS.,SAN ANTONIO CREEK","9415344"
"1012","NB-869Pond","NB-869Pond",NA,NA,NA,NA,"Petaluma River","North Bay","Mud Slough Petaluma","MDP","Restoration Pond","Petaluma River, Upper Drawbridge","9415584"
"1013","NB-870","NB-870",NA,NA,38.1572835764397,-122.533767988911,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","HOG IS.,SAN ANTONIO CREEK","9415344"
"1014","NB-880","NB-880",NA,NA,38.1472444674746,-122.534684774505,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","HOG IS.,SAN ANTONIO CREEK","9415344"
"1015","NB-890","NB-890",NA,NA,38.1371115153211,-122.520111697941,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","HOG IS.,SAN ANTONIO CREEK","9415344"
"1016","NB-900","NB-900",NA,NA,38.1321827491466,-122.511841383461,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","HOG IS.,SAN ANTONIO CREEK","9415344"
"1017","NB-901","NB-901",NA,NA,38.1403461583862,-122.519259958097,"Petaluma River","North Bay","Petaluma River","PET","Slough Adjacent to Restoration Pond","PETALUMA RIVER ENTRANCE","9415252"
"1018","NB-910","NB-910",NA,NA,38.1205841093287,-122.515398076933,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1019","NB-920","NB-920",NA,NA,38.1143653414369,-122.507511591408,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1020","NB-930","NB-930",NA,NA,38.1109718183377,-122.49720372297,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1021","NB-940","NB-940",NA,NA,38.0947948113664,-122.490420026619,"Novato Creek","North Bay","Novato Creek","NOV","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1022","NB-950","NB-950",NA,NA,38.086534659192,-122.501318800383,"Novato Creek","North Bay","Novato Creek","NOV","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1023","NB-960","NB-960",NA,NA,38.0867592357294,-122.508665178798,"Novato Creek","North Bay","Novato Creek","NOV","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1024","NB-970","NB-970",NA,NA,38.0848813384105,-122.530501569197,"Novato Creek","North Bay","Novato Creek","NOV","Mainstem","PETALUMA RIVER ENTRANCE","9415252"
"1025","NB-980","NB-980",NA,NA,38.0188401727501,-122.50178963217,"Gallinas Creek","North Bay","Gallinas Creek","GAL","Mainstem","GALLINAS, GALLINAS CREEK","9415052"
"1026","NB-990","NB-990",NA,NA,38.0229564738661,-122.513980290772,"Gallinas Creek","North Bay","Gallinas Creek","GAL","Mainstem","GALLINAS, GALLINAS CREEK","9415052"
"1027","NB-991","NB-991",NA,NA,38.0124863066057,-122.522656698099,"Gallinas Creek","North Bay","Gallinas Creek","GAL","Slough","GALLINAS, GALLINAS CREEK","9415052"
"1028","NB-992","NB-992",NA,NA,38.0067651844312,-122.522352308538,"Gallinas Creek","North Bay","Gallinas Creek","GAL","Slough ","GALLINAS, GALLINAS CREEK","9415052"
"1029","NEW 1","Legacy","NEW 1","1",NA,NA,"Newark Marsh","South Bay","Newark Marsh","NEW","unkown","",""
"1030","NEW 2","Legacy","NEW 2","2",NA,NA,"Newark Marsh","South Bay","Newark Marsh","NEW","unkown","",""
"1031","NEW 3","Legacy","NEW 3","3",NA,NA,"Newark Marsh","South Bay","Newark Marsh","NEW","unkown","",""
"1032","NEW 4","Legacy","NEW 4","4",NA,NA,"Newark Marsh","South Bay","Newark Marsh","NEW","unkown","",""
"1033","NEW 6","Legacy","NEW 6","6",NA,NA,"Newark Marsh","South Bay","Newark Marsh","NEW","unkown","",""
"1034","NEW 7","Legacy","NEW 7","7",NA,NA,"Newark Marsh","South Bay","Newark Marsh","NEW","unkown","",""
"1035","PET 1","Legacy","PET 1","1",38.2229226140632,-122.614108581498,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1036","PET 2","Legacy","PET 2","2",38.2139782815992,-122.579023741252,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1037","PET 3","Legacy","PET 3","3",38.209626949627,-122.563124965497,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1038","PET 4","Legacy","PET 4","4",38.2028763512067,-122.563808205964,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1039","PET 5","Legacy","PET 5","5",38.1926475455177,-122.551113978351,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1040","PET 6","Legacy","PET 6","6",38.134325204569,-122.516364926535,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1041","PET 7","Legacy","PET 7","7",38.1450643109405,-122.524076482994,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1042","PET 8","Legacy","PET 8","8",38.1698200790489,-122.536017171962,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1043","PET 9","Legacy","PET 9","9",38.187473385804,-122.538991122094,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1044","PET FAC","Legacy","PET FAC","",NA,NA,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1045","PET OX BOW 1","Legacy","PET OX BOW 1","1",NA,NA,"Petaluma River","North Bay","Petaluma Oxbow","OXB","Slough","",""
"1046","PET OX BOW 2","Legacy","PET OX BOW 2","2",NA,NA,"Petaluma River","North Bay","Petaluma Oxbow","OXB","Slough","",""
"1047","PET RES BRE","Legacy","PET RES BRE","",NA,NA,"Petaluma River","North Bay","Petaluma River","PET","Mainstem","",""
"1048","PET-BOW","Legacy","PET-BOW","",NA,NA,"Petaluma River","North Bay","Petaluma Oxbow","OXB","Slough","",""
"1049","POND 5 1","Legacy","POND 5 1","1",38.1817031693177,-122.324185993846,"Napa River","North Bay","Pond 5","P5","Restoration Pond","",""
"1050","POND 5 2","Legacy","POND 5 2","2",38.189326633454,-122.327316966185,"Napa River","North Bay","Pond 5","P5","Restoration Pond","",""
"1051","RED 1","Legacy","RED 1","1",NA,NA,"Bair Island","South Bay","Redwood Creek","RED","unkown","",""
"1052","RWY 1","Legacy","RWY 1","1",NA,NA,"Unknown","Unknown","Unknown","UNK","Unknown","Unknown","Unknown"
"1053","SAN 1","Legacy","SAN 1","1",38.1058800496058,-122.477314492743,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","POINT SAN PEDRO, SAN FRANCISCO BAY","9415009"
"1054","SB-100","SB-100",NA,NA,37.4571719838425,-121.92973763128,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1055","SB-110","SB-110",NA,NA,37.4608635242519,-121.929826893225,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1056","SB-120","SB-120",NA,NA,37.4658918972867,-121.938772487488,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1057","SB-130","SB-130",NA,NA,37.4636611213143,-121.939639368766,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1058","SB-140","SB-140",NA,NA,37.4598581270921,-121.944926430713,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1059","SB-150","SB-150",NA,NA,37.4619314478347,-121.959123210958,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1060","SB-160","SB-160",NA,NA,37.4620721125541,-121.964495204831,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1061","SB-170","SB-170",NA,NA,37.4598815613684,-121.976032074197,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1062","SB-180","SB-180",NA,NA,37.4672363687301,-121.99016451762,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1063","SB-190","SB-190",NA,NA,37.4690944346619,-121.993189310723,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1064","SB-200","SB-200",NA,NA,37.4607013138154,-122.004661049643,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1065","SB-210","SB-210",NA,NA,37.4609762029355,-122.021955900413,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1066","SB-220","SB-220",NA,NA,37.4604955712705,-122.029678612919,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1067","SB-230","SB-230",NA,NA,37.4648359862838,-122.0384163061,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1068","SB-300","SB-300",NA,NA,NA,NA,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1069","SB-310","SB-310",NA,NA,NA,NA,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1070","SB-320","SB-320",NA,NA,NA,NA,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1071","SB-400","SB-400",NA,NA,37.4426610844624,-121.958161664477,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1072","SB-410","SB-410",NA,NA,37.4465003542152,-121.965896073099,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1073","SB-420","SB-420",NA,NA,37.4540035715768,-121.963971301333,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
"1074","SB-430","SB-430",NA,NA,37.4549139862169,-121.969471589771,"Alviso Marsh","South Bay","South Bay","SBY","Slough Adjacent to Restoration Pond","Coyote Creek, CA","9414575"
