polstn,pol,stn,stn_no,lat,lon,tribmarsh,region,loc,loc_code,habitat,tidesta,station_name
NB-1098,NB-1098,NA,NA,38.075049,-122.360148,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1099,NB-1099,NA,NA,38.075398,-122.345951,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-110,NB-110,NA,NA,38.307209,-122.280107,Napa River,North Bay,San Pablo Bay,SPB,Mainstem,"NAPA, NAPA RIVER",9415623
NB-1100,NB-1100,NA,NA,38.075703,-122.333419,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1101,NB-1101,NA,NA,38.076014,-122.320677,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1102,NB-1102,NA,NA,38.076331,-122.307575,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1103,NB-1103,NA,NA,38.076629,-122.295229,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1104,NB-1104,NA,NA,38.07657,-122.280341,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1105,NB-1105,NA,NA,38.061389,-122.480892,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1106,NB-1106,NA,NA,38.061937,-122.463581,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1107,NB-1107,NA,NA,38.062225,-122.451163,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1108,NB-1108,NA,NA,38.062479,-122.44011,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1109,NB-1109,NA,NA,38.062781,-122.426933,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1110,NB-1110,NA,NA,38.063079,-122.413936,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1111,NB-1111,NA,NA,38.063357,-122.401682,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1112,NB-1112,NA,NA,38.063651,-122.38875,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1113,NB-1113,NA,NA,38.063961,-122.374984,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1114,NB-1114,NA,NA,38.064295,-122.360089,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1115,NB-1115,NA,NA,38.064612,-122.3459,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1116,NB-1116,NA,NA,38.064888,-122.333373,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1117,NB-1117,NA,NA,38.065171,-122.320635,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1118,NB-1118,NA,NA,38.065457,-122.307532,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1119,NB-1119,NA,NA,38.065727,-122.295185,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1120,NB-1120,NA,NA,38.066128,-122.279126,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1121,NB-1121,NA,NA,38.050261,-122.489999,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
